barcode Dose
X340_0 X340_0 0
X341_0 X341_0 0
X342_0 X342_0 0
X343_0 X343_0 0
X344_0 X344_0 0
X345_0 X345_0 0
X346_0 X346_0 0
X347_0 X347_0 0
X348_0 X348_0 0
X349_0 X349_0 0
X350_0 X350_0 0
X351_0 X351_0 0
X352_0 X352_0 0
X353_0 X353_0 0
X354_0 X354_0 0
X355_0 X355_0 0
X356_0 X356_0 0
X357_0 X357_0 0
X358_0 X358_0 0
X359_0 X359_0 0
X360_0 X360_0 0
X361_0 X361_0 0
X362_0 X362_0 0
X363_0 X363_0 0
X364_0 X364_0 0
X365_0 X365_0 0
X366_0 X366_0 0
X367_0 X367_0 0
X368_0 X368_0 0
X369_0 X369_0 0
X370_0 X370_0 0
X371_0 X371_0 0
X372_0 X372_0 0
X373_0 X373_0 0
X374_0 X374_0 0
X375_0 X375_0 0
X376_0 X376_0 0
X377_0 X377_0 0
X378_0 X378_0 0
X379_0 X379_0 0
X380_0 X380_0 0
X381_0 X381_0 0
X382_0 X382_0 0
X383_0 X383_0 0
X384_0 X384_0 0
X385_0 X385_0 0
X386_0 X386_0 0
X387_0 X387_0 0
X388_0 X388_0 0
X389_0 X389_0 0
X390_0 X390_0 0
X391_0 X391_0 0
X392_0 X392_0 0
X393_0 X393_0 0
X394_0 X394_0 0
X395_0 X395_0 0
X396_0 X396_0 0
X397_0 X397_0 0
X398_0 X398_0 0
X399_0 X399_0 0
X400_0 X400_0 0
X401_0 X401_0 0
X402_0 X402_0 0
X403_0 X403_0 0
X404_0 X404_0 0
X405_0 X405_0 0
X406_0 X406_0 0
X407_0 X407_0 0
X408_0 X408_0 0
X409_0 X409_0 0
X410_0 X410_0 0
X411_0 X411_0 0
X412_0 X412_0 0
X413_0 X413_0 0
X414_0 X414_0 0
X415_0 X415_0 0
X416_0 X416_0 0
X417_0 X417_0 0
X418_0 X418_0 0
X419_0 X419_0 0
X420_0 X420_0 0
X421_0 X421_0 0
X422_0 X422_0 0
X423_0 X423_0 0
X424_0 X424_0 0
X425_0 X425_0 0
X426_0 X426_0 0
X427_0 X427_0 0
X428_0 X428_0 0
X429_0 X429_0 0
X430_0 X430_0 0
X431_0 X431_0 0
X432_0 X432_0 0
X433_0 X433_0 0
X434_0 X434_0 0
X435_0 X435_0 0
X436_0 X436_0 0
X437_0 X437_0 0
X438_0 X438_0 0
X439_0 X439_0 0
X440_0 X440_0 0
X441_0 X441_0 0
X442_0 X442_0 0
X443_0 X443_0 0
X444_0 X444_0 0
X445_0 X445_0 0
X446_0 X446_0 0
X447_0 X447_0 0
X448_0 X448_0 0
X449_0 X449_0 0
X450_0 X450_0 0
X451_0 X451_0 0
X452_0 X452_0 0
X453_0 X453_0 0
X454_0 X454_0 0
X455_0 X455_0 0
X456_0 X456_0 0
X457_0 X457_0 0
X458_0 X458_0 0
X459_0 X459_0 0
X460_0 X460_0 0
X461_0 X461_0 0
X462_0 X462_0 0
X463_0 X463_0 0
X464_0 X464_0 0
X465_0 X465_0 0
X466_0 X466_0 0
X467_0 X467_0 0
X468_0 X468_0 0
X469_0 X469_0 0
X470_0 X470_0 0
X471_0 X471_0 0
X472_0 X472_0 0
X473_0 X473_0 0
X474_0 X474_0 0
X475_0 X475_0 0
X476_0 X476_0 0
X477_0 X477_0 0
X478_0 X478_0 0
X479_0 X479_0 0
X480_0 X480_0 0
X481_0 X481_0 0
X482_0 X482_0 0
X483_0 X483_0 0
X484_0 X484_0 0
X485_0 X485_0 0
X486_0 X486_0 0
X487_0 X487_0 0
X488_0 X488_0 0
X489_0 X489_0 0
X490_0 X490_0 0
X491_0 X491_0 0
X492_0 X492_0 0
X493_0 X493_0 0
X494_0 X494_0 0
X495_0 X495_0 0
X496_0 X496_0 0
X497_0 X497_0 0
X498_0 X498_0 0
X499_0 X499_0 0
X500_0 X500_0 0
X1_0.01 X1_0.01 0.01
X2_0.01 X2_0.01 0.01
X3_0.01 X3_0.01 0.01
X4_0.01 X4_0.01 0.01
X5_0.01 X5_0.01 0.01
X6_0.01 X6_0.01 0.01
X7_0.01 X7_0.01 0.01
X8_0.01 X8_0.01 0.01
X9_0.01 X9_0.01 0.01
X10_0.01 X10_0.01 0.01
X11_0.01 X11_0.01 0.01
X12_0.01 X12_0.01 0.01
X13_0.01 X13_0.01 0.01
X14_0.01 X14_0.01 0.01
X15_0.01 X15_0.01 0.01
X16_0.01 X16_0.01 0.01
X17_0.01 X17_0.01 0.01
X18_0.01 X18_0.01 0.01
X19_0.01 X19_0.01 0.01
X20_0.01 X20_0.01 0.01
X21_0.01 X21_0.01 0.01
X22_0.01 X22_0.01 0.01
X23_0.01 X23_0.01 0.01
X24_0.01 X24_0.01 0.01
X25_0.01 X25_0.01 0.01
X26_0.01 X26_0.01 0.01
X27_0.01 X27_0.01 0.01
X28_0.01 X28_0.01 0.01
X29_0.01 X29_0.01 0.01
X30_0.01 X30_0.01 0.01
X31_0.01 X31_0.01 0.01
X32_0.01 X32_0.01 0.01
X33_0.01 X33_0.01 0.01
X34_0.01 X34_0.01 0.01
X35_0.01 X35_0.01 0.01
X36_0.01 X36_0.01 0.01
X37_0.01 X37_0.01 0.01
X38_0.01 X38_0.01 0.01
X39_0.01 X39_0.01 0.01
X40_0.01 X40_0.01 0.01
X41_0.01 X41_0.01 0.01
X42_0.01 X42_0.01 0.01
X43_0.01 X43_0.01 0.01
X44_0.01 X44_0.01 0.01
X45_0.01 X45_0.01 0.01
X46_0.01 X46_0.01 0.01
X47_0.01 X47_0.01 0.01
X48_0.01 X48_0.01 0.01
X49_0.01 X49_0.01 0.01
X50_0.01 X50_0.01 0.01
X51_0.01 X51_0.01 0.01
X52_0.01 X52_0.01 0.01
X53_0.01 X53_0.01 0.01
X54_0.01 X54_0.01 0.01
X55_0.01 X55_0.01 0.01
X56_0.01 X56_0.01 0.01
X57_0.01 X57_0.01 0.01
X58_0.01 X58_0.01 0.01
X59_0.01 X59_0.01 0.01
X60_0.01 X60_0.01 0.01
X61_0.01 X61_0.01 0.01
X62_0.01 X62_0.01 0.01
X63_0.01 X63_0.01 0.01
X64_0.01 X64_0.01 0.01
X65_0.01 X65_0.01 0.01
X66_0.01 X66_0.01 0.01
X67_0.01 X67_0.01 0.01
X68_0.01 X68_0.01 0.01
X69_0.01 X69_0.01 0.01
X70_0.01 X70_0.01 0.01
X71_0.01 X71_0.01 0.01
X72_0.01 X72_0.01 0.01
X73_0.01 X73_0.01 0.01
X74_0.01 X74_0.01 0.01
X75_0.01 X75_0.01 0.01
X76_0.01 X76_0.01 0.01
X77_0.01 X77_0.01 0.01
X78_0.01 X78_0.01 0.01
X79_0.01 X79_0.01 0.01
X80_0.01 X80_0.01 0.01
X81_0.01 X81_0.01 0.01
X82_0.01 X82_0.01 0.01
X83_0.01 X83_0.01 0.01
X84_0.01 X84_0.01 0.01
X85_0.01 X85_0.01 0.01
X86_0.01 X86_0.01 0.01
X87_0.01 X87_0.01 0.01
X88_0.01 X88_0.01 0.01
X89_0.01 X89_0.01 0.01
X90_0.01 X90_0.01 0.01
X91_0.01 X91_0.01 0.01
X92_0.01 X92_0.01 0.01
X93_0.01 X93_0.01 0.01
X94_0.01 X94_0.01 0.01
X95_0.01 X95_0.01 0.01
X96_0.01 X96_0.01 0.01
X97_0.01 X97_0.01 0.01
X98_0.01 X98_0.01 0.01
X99_0.01 X99_0.01 0.01
X100_0.01 X100_0.01 0.01
X101_0.01 X101_0.01 0.01
X102_0.01 X102_0.01 0.01
X103_0.01 X103_0.01 0.01
X104_0.01 X104_0.01 0.01
X105_0.01 X105_0.01 0.01
X106_0.01 X106_0.01 0.01
X107_0.01 X107_0.01 0.01
X108_0.01 X108_0.01 0.01
X109_0.01 X109_0.01 0.01
X110_0.01 X110_0.01 0.01
X111_0.01 X111_0.01 0.01
X112_0.01 X112_0.01 0.01
X113_0.01 X113_0.01 0.01
X114_0.01 X114_0.01 0.01
X115_0.01 X115_0.01 0.01
X116_0.01 X116_0.01 0.01
X117_0.01 X117_0.01 0.01
X118_0.01 X118_0.01 0.01
X119_0.01 X119_0.01 0.01
X120_0.01 X120_0.01 0.01
X121_0.01 X121_0.01 0.01
X122_0.01 X122_0.01 0.01
X123_0.01 X123_0.01 0.01
X124_0.01 X124_0.01 0.01
X125_0.01 X125_0.01 0.01
X126_0.01 X126_0.01 0.01
X127_0.01 X127_0.01 0.01
X128_0.01 X128_0.01 0.01
X129_0.01 X129_0.01 0.01
X130_0.01 X130_0.01 0.01
X131_0.01 X131_0.01 0.01
X132_0.01 X132_0.01 0.01
X133_0.01 X133_0.01 0.01
X134_0.01 X134_0.01 0.01
X135_0.01 X135_0.01 0.01
X136_0.01 X136_0.01 0.01
X137_0.01 X137_0.01 0.01
X138_0.01 X138_0.01 0.01
X139_0.01 X139_0.01 0.01
X140_0.01 X140_0.01 0.01
X141_0.01 X141_0.01 0.01
X142_0.01 X142_0.01 0.01
X143_0.01 X143_0.01 0.01
X144_0.01 X144_0.01 0.01
X145_0.01 X145_0.01 0.01
X146_0.01 X146_0.01 0.01
X147_0.01 X147_0.01 0.01
X148_0.01 X148_0.01 0.01
X149_0.01 X149_0.01 0.01
X150_0.01 X150_0.01 0.01
X151_0.01 X151_0.01 0.01
X152_0.01 X152_0.01 0.01
X153_0.01 X153_0.01 0.01
X154_0.01 X154_0.01 0.01
X155_0.01 X155_0.01 0.01
X156_0.01 X156_0.01 0.01
X157_0.01 X157_0.01 0.01
X158_0.01 X158_0.01 0.01
X159_0.01 X159_0.01 0.01
X160_0.01 X160_0.01 0.01
X161_0.01 X161_0.01 0.01
X162_0.01 X162_0.01 0.01
X163_0.01 X163_0.01 0.01
X164_0.01 X164_0.01 0.01
X165_0.01 X165_0.01 0.01
X166_0.01 X166_0.01 0.01
X167_0.01 X167_0.01 0.01
X168_0.01 X168_0.01 0.01
X169_0.01 X169_0.01 0.01
X170_0.01 X170_0.01 0.01
X171_0.01 X171_0.01 0.01
X172_0.01 X172_0.01 0.01
X173_0.01 X173_0.01 0.01
X174_0.01 X174_0.01 0.01
X175_0.01 X175_0.01 0.01
X176_0.01 X176_0.01 0.01
X177_0.01 X177_0.01 0.01
X178_0.01 X178_0.01 0.01
X179_0.01 X179_0.01 0.01
X180_0.01 X180_0.01 0.01
X181_0.01 X181_0.01 0.01
X182_0.01 X182_0.01 0.01
X183_0.01 X183_0.01 0.01
X184_0.01 X184_0.01 0.01
X185_0.01 X185_0.01 0.01
X186_0.01 X186_0.01 0.01
X187_0.01 X187_0.01 0.01
X188_0.01 X188_0.01 0.01
X189_0.01 X189_0.01 0.01
X190_0.01 X190_0.01 0.01
X191_0.01 X191_0.01 0.01
X192_0.01 X192_0.01 0.01
X193_0.01 X193_0.01 0.01
X194_0.01 X194_0.01 0.01
X195_0.01 X195_0.01 0.01
X196_0.01 X196_0.01 0.01
X197_0.01 X197_0.01 0.01
X198_0.01 X198_0.01 0.01
X199_0.01 X199_0.01 0.01
X200_0.01 X200_0.01 0.01
X201_0.01 X201_0.01 0.01
X202_0.01 X202_0.01 0.01
X203_0.01 X203_0.01 0.01
X204_0.01 X204_0.01 0.01
X205_0.01 X205_0.01 0.01
X206_0.01 X206_0.01 0.01
X207_0.01 X207_0.01 0.01
X208_0.01 X208_0.01 0.01
X209_0.01 X209_0.01 0.01
X210_0.01 X210_0.01 0.01
X211_0.01 X211_0.01 0.01
X212_0.01 X212_0.01 0.01
X213_0.01 X213_0.01 0.01
X214_0.01 X214_0.01 0.01
X215_0.01 X215_0.01 0.01
X216_0.01 X216_0.01 0.01
X217_0.01 X217_0.01 0.01
X218_0.01 X218_0.01 0.01
X219_0.01 X219_0.01 0.01
X220_0.01 X220_0.01 0.01
X221_0.01 X221_0.01 0.01
X222_0.01 X222_0.01 0.01
X223_0.01 X223_0.01 0.01
X224_0.01 X224_0.01 0.01
X225_0.01 X225_0.01 0.01
X226_0.01 X226_0.01 0.01
X227_0.01 X227_0.01 0.01
X228_0.01 X228_0.01 0.01
X229_0.01 X229_0.01 0.01
X230_0.01 X230_0.01 0.01
X231_0.01 X231_0.01 0.01
X232_0.01 X232_0.01 0.01
X233_0.01 X233_0.01 0.01
X234_0.01 X234_0.01 0.01
X235_0.01 X235_0.01 0.01
X236_0.01 X236_0.01 0.01
X237_0.01 X237_0.01 0.01
X238_0.01 X238_0.01 0.01
X239_0.01 X239_0.01 0.01
X240_0.01 X240_0.01 0.01
X241_0.01 X241_0.01 0.01
X242_0.01 X242_0.01 0.01
X243_0.01 X243_0.01 0.01
X244_0.01 X244_0.01 0.01
X245_0.01 X245_0.01 0.01
X246_0.01 X246_0.01 0.01
X247_0.01 X247_0.01 0.01
X248_0.01 X248_0.01 0.01
X249_0.01 X249_0.01 0.01
X250_0.01 X250_0.01 0.01
X251_0.01 X251_0.01 0.01
X252_0.01 X252_0.01 0.01
X253_0.01 X253_0.01 0.01
X254_0.01 X254_0.01 0.01
X255_0.01 X255_0.01 0.01
X256_0.01 X256_0.01 0.01
X257_0.01 X257_0.01 0.01
X258_0.01 X258_0.01 0.01
X259_0.01 X259_0.01 0.01
X260_0.01 X260_0.01 0.01
X261_0.01 X261_0.01 0.01
X262_0.01 X262_0.01 0.01
X263_0.01 X263_0.01 0.01
X264_0.01 X264_0.01 0.01
X265_0.01 X265_0.01 0.01
X266_0.01 X266_0.01 0.01
X267_0.01 X267_0.01 0.01
X268_0.01 X268_0.01 0.01
X269_0.01 X269_0.01 0.01
X270_0.01 X270_0.01 0.01
X271_0.01 X271_0.01 0.01
X272_0.01 X272_0.01 0.01
X273_0.01 X273_0.01 0.01
X274_0.01 X274_0.01 0.01
X275_0.01 X275_0.01 0.01
X276_0.01 X276_0.01 0.01
X277_0.01 X277_0.01 0.01
X278_0.01 X278_0.01 0.01
X279_0.01 X279_0.01 0.01
X280_0.01 X280_0.01 0.01
X281_0.01 X281_0.01 0.01
X282_0.01 X282_0.01 0.01
X283_0.01 X283_0.01 0.01
X284_0.01 X284_0.01 0.01
X285_0.01 X285_0.01 0.01
X286_0.01 X286_0.01 0.01
X287_0.01 X287_0.01 0.01
X288_0.01 X288_0.01 0.01
X289_0.01 X289_0.01 0.01
X290_0.01 X290_0.01 0.01
X291_0.01 X291_0.01 0.01
X292_0.01 X292_0.01 0.01
X293_0.01 X293_0.01 0.01
X294_0.01 X294_0.01 0.01
X295_0.01 X295_0.01 0.01
X296_0.01 X296_0.01 0.01
X297_0.01 X297_0.01 0.01
X298_0.01 X298_0.01 0.01
X299_0.01 X299_0.01 0.01
X300_0.01 X300_0.01 0.01
X301_0.01 X301_0.01 0.01
X302_0.01 X302_0.01 0.01
X303_0.01 X303_0.01 0.01
X304_0.01 X304_0.01 0.01
X305_0.01 X305_0.01 0.01
X306_0.01 X306_0.01 0.01
X307_0.01 X307_0.01 0.01
X308_0.01 X308_0.01 0.01
X309_0.01 X309_0.01 0.01
X310_0.01 X310_0.01 0.01
X311_0.01 X311_0.01 0.01
X312_0.01 X312_0.01 0.01
X313_0.01 X313_0.01 0.01
X314_0.01 X314_0.01 0.01
X315_0.01 X315_0.01 0.01
X316_0.01 X316_0.01 0.01
X317_0.01 X317_0.01 0.01
X318_0.01 X318_0.01 0.01
X319_0.01 X319_0.01 0.01
X320_0.01 X320_0.01 0.01
X321_0.01 X321_0.01 0.01
X322_0.01 X322_0.01 0.01
X323_0.01 X323_0.01 0.01
X324_0.01 X324_0.01 0.01
X325_0.01 X325_0.01 0.01
X326_0.01 X326_0.01 0.01
X327_0.01 X327_0.01 0.01
X328_0.01 X328_0.01 0.01
X329_0.01 X329_0.01 0.01
X330_0.01 X330_0.01 0.01
X331_0.01 X331_0.01 0.01
X332_0.01 X332_0.01 0.01
X333_0.01 X333_0.01 0.01
X334_0.01 X334_0.01 0.01
X335_0.01 X335_0.01 0.01
X336_0.01 X336_0.01 0.01
X337_0.01 X337_0.01 0.01
X338_0.01 X338_0.01 0.01
X339_0.01 X339_0.01 0.01
X340_0.01 X340_0.01 0.01
X341_0.01 X341_0.01 0.01
X342_0.01 X342_0.01 0.01
X343_0.01 X343_0.01 0.01
X344_0.01 X344_0.01 0.01
X345_0.01 X345_0.01 0.01
X346_0.01 X346_0.01 0.01
X347_0.01 X347_0.01 0.01
X348_0.01 X348_0.01 0.01
X349_0.01 X349_0.01 0.01
X350_0.01 X350_0.01 0.01
X351_0.01 X351_0.01 0.01
X352_0.01 X352_0.01 0.01
X353_0.01 X353_0.01 0.01
X354_0.01 X354_0.01 0.01
X355_0.01 X355_0.01 0.01
X356_0.01 X356_0.01 0.01
X357_0.01 X357_0.01 0.01
X358_0.01 X358_0.01 0.01
X359_0.01 X359_0.01 0.01
X360_0.01 X360_0.01 0.01
X361_0.01 X361_0.01 0.01
X362_0.01 X362_0.01 0.01
X363_0.01 X363_0.01 0.01
X364_0.01 X364_0.01 0.01
X365_0.01 X365_0.01 0.01
X366_0.01 X366_0.01 0.01
X367_0.01 X367_0.01 0.01
X368_0.01 X368_0.01 0.01
X369_0.01 X369_0.01 0.01
X370_0.01 X370_0.01 0.01
X371_0.01 X371_0.01 0.01
X372_0.01 X372_0.01 0.01
X373_0.01 X373_0.01 0.01
X374_0.01 X374_0.01 0.01
X375_0.01 X375_0.01 0.01
X376_0.01 X376_0.01 0.01
X377_0.01 X377_0.01 0.01
X378_0.01 X378_0.01 0.01
X379_0.01 X379_0.01 0.01
X380_0.01 X380_0.01 0.01
X381_0.01 X381_0.01 0.01
X382_0.01 X382_0.01 0.01
X383_0.01 X383_0.01 0.01
X384_0.01 X384_0.01 0.01
X385_0.01 X385_0.01 0.01
X386_0.01 X386_0.01 0.01
X387_0.01 X387_0.01 0.01
X388_0.01 X388_0.01 0.01
X389_0.01 X389_0.01 0.01
X390_0.01 X390_0.01 0.01
X391_0.01 X391_0.01 0.01
X392_0.01 X392_0.01 0.01
X393_0.01 X393_0.01 0.01
X394_0.01 X394_0.01 0.01
X395_0.01 X395_0.01 0.01
X396_0.01 X396_0.01 0.01
X397_0.01 X397_0.01 0.01
X398_0.01 X398_0.01 0.01
X399_0.01 X399_0.01 0.01
X400_0.01 X400_0.01 0.01
X401_0.01 X401_0.01 0.01
X402_0.01 X402_0.01 0.01
X403_0.01 X403_0.01 0.01
X404_0.01 X404_0.01 0.01
X405_0.01 X405_0.01 0.01
X406_0.01 X406_0.01 0.01
X407_0.01 X407_0.01 0.01
X408_0.01 X408_0.01 0.01
X409_0.01 X409_0.01 0.01
X410_0.01 X410_0.01 0.01
X411_0.01 X411_0.01 0.01
X412_0.01 X412_0.01 0.01
X413_0.01 X413_0.01 0.01
X414_0.01 X414_0.01 0.01
X415_0.01 X415_0.01 0.01
X416_0.01 X416_0.01 0.01
X417_0.01 X417_0.01 0.01
X418_0.01 X418_0.01 0.01
X419_0.01 X419_0.01 0.01
X420_0.01 X420_0.01 0.01
X421_0.01 X421_0.01 0.01
X422_0.01 X422_0.01 0.01
X423_0.01 X423_0.01 0.01
X424_0.01 X424_0.01 0.01
X425_0.01 X425_0.01 0.01
X426_0.01 X426_0.01 0.01
X427_0.01 X427_0.01 0.01
X428_0.01 X428_0.01 0.01
X429_0.01 X429_0.01 0.01
X430_0.01 X430_0.01 0.01
X431_0.01 X431_0.01 0.01
X432_0.01 X432_0.01 0.01
X433_0.01 X433_0.01 0.01
X434_0.01 X434_0.01 0.01
X435_0.01 X435_0.01 0.01
X436_0.01 X436_0.01 0.01
X437_0.01 X437_0.01 0.01
X438_0.01 X438_0.01 0.01
X439_0.01 X439_0.01 0.01
X440_0.01 X440_0.01 0.01
X441_0.01 X441_0.01 0.01
X442_0.01 X442_0.01 0.01
X443_0.01 X443_0.01 0.01
